Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Average Acceptance Ratio
8,3350.5225,16.36925,382.41526500000003,2951.7379849999998,0.9175000000000001
10,3782.165,19.824,476.4017400000001,3285.9392599999996,0.883
12,4329.1425,23.19675,540.2764599999999,3765.66929,0.8664999999999999
16,5218.2,29.683375,734.2831000000001,4454.233525000001,0.8035
20,6169.575,35.954625,912.0995950000001,5221.52078,0.7585
24,7219.3975,43.462375,1144.6395550000002,6031.29557,0.716
