Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Average Acceptance Ratio
8,709.0975,158.241875,161.91472000000002,388.94090500000004,0.1625
10,895.5975,180.656125,186.76194999999998,528.179425,0.14750000000000002
12,880.7525,205.64,208.82409,466.28841000000006,0.14150000000000001
16,875.6225,268.46175,267.170345,339.990405,0.134
20,866.7925,366.86225,357.091645,142.838605,0.0985
24,842.435,504.338125,483.14709999999997,-145.050225,0.08249999999999999
