Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Acceptance Ratio
8,2008.95,78.12,259.777,1671.0529999999999,0.575
10,2158.025,88.415,282.962,1786.648,0.5700000000000001
12,2722.025,111.9,414.90450000000004,2195.2205,0.595
14,2883.125,114.9,409.30150000000003,2358.9235,0.5700000000000001
16,3099.875,126.18,474.975,2498.72,0.5349999999999999
