Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Acceptance Ratio
8,-1737.8,655.42,467.1015000000001,-2860.3215,0.16499999999999998
10,-2229.525,940.08,707.7825,-3877.3875,0.135
12,-2543.6,1142.97,868.2165,-4554.7865,0.10500000000000001
16,-3798.625,1881.505,1522.3829999999998,-7202.513000000001,0.065
20,-5178.975,2897.875,2428.6504999999997,-10505.5005,0.06
24,-5803.825,3703.47,3171.0719999999997,-12678.367000000002,0.04
