Max SFC Length,Average Placement Reward,Average Power Consumption,Average Exceeded Penalty,Average Reward,Average Acceptance Ratio
8,3172.7725,20.983625,843.315675,2308.4732000000004,0.548
10,3695.415,23.98025,1026.2671500000001,2645.1676,0.522
12,4188.62,27.49025,1255.65525,2905.4745,0.536
16,5221.295,34.912,1740.377825,3446.005175,0.517
20,6119.3225,42.085,2271.2924749999997,3805.945025,0.508
24,7032.4225,48.452875,2699.7775250000004,4284.192099999999,0.5225
