,Reward,Actor Loss,Critic Loss
0,62653.852,13374.8748046875,11518727.8
1,63527.45000000002,16179.493359375,15641324.6
2,61491.41000000001,16145.995703125,18502149.4
3,59625.02799999999,10447.314453125,7984181.9
4,52853.4,14013.64375,18365733.4
5,51881.469999999994,14529.22578125,16862331.2
6,56602.081999999995,11875.89150390625,13792928.7
7,62046.265999999996,17392.5005859375,20910962.2
8,60950.982,16488.01328125,18508427.7
9,61744.969999999994,16313.1232421875,24213834.8
10,61990.86,14205.4259765625,14987301.8
11,60361.93799999999,15656.9986328125,16979380.8
12,62056.086,14283.230859375,16280850.4
13,62399.126,12702.27998046875,13644853.5
14,63609.606000000014,14658.4119140625,14060493.4
15,62293.149999999994,16746.6587890625,18999163.4
16,62642.43600000001,18523.907421875,23171051.4
17,57912.48399999998,13639.4302734375,13187459.8
18,57295.456,18103.9115234375,19576909.6
19,59657.416000000005,13986.5642578125,13937284.3
20,61156.066,16606.599609375,19025904.5
21,61661.052,13317.3388671875,10986486.8
22,59513.192,16727.998046875,16639602.4
23,60114.308,13417.91875,12457701.4
24,61226.151999999995,16256.048046875,16976545.6
25,59440.164000000004,13496.3697265625,13629936.7
26,59627.85400000001,12741.60625,12587733.3
27,58829.934,12458.4271484375,10263090.5
28,60499.227999999996,11028.9798828125,10083224.5
29,57668.367999999995,14035.93544921875,15963921.6
30,61165.25600000001,16675.225390625,15838273.6
31,59694.638,15658.37734375,16736608.7
32,60334.972,17773.837109375,17880696.0
33,58777.89199999999,15514.1322265625,18112705.0
34,60139.004,13111.9013671875,9941339.0
35,62086.058,15770.458203125,14090995.6
36,64265.39600000001,15707.23046875,16425111.8
37,61487.187999999995,13314.41669921875,13234632.8
38,62170.064000000006,11960.415234375,12978668.5
39,60885.543999999994,19439.515625,23351682.2
40,62710.628,12551.6744140625,12014324.8
41,63363.901999999995,14920.4130859375,15193912.8
42,63343.876,15969.58828125,15280303.2
43,62673.162000000004,15235.01953125,14726931.4
44,62530.63,18547.2689453125,21170899.6
45,62234.78600000001,14097.633203125,14748130.0
46,63834.43600000001,14787.066796875,16679914.2
47,61911.524000000005,17344.5341796875,19089124.2
48,62878.72599999999,16416.2740234375,16411907.8
49,62616.74000000001,14898.4953125,13302547.6
