,Reward,Actor Loss,Critic Loss
0,16.60486,19.528845596313477,225.64400329589844
1,16.228083,28.042107391357423,221.82166442871093
2,16.58444,24.573483276367188,114.65567474365234
3,16.414503,23.20368881225586,137.79205932617188
4,16.251947,25.670394134521484,123.66089172363282
5,16.419836,19.156010246276857,179.9981262207031
6,15.988613,24.43100242614746,177.9438049316406
7,16.44192,20.20176887512207,112.48109283447266
8,16.536291,21.688809204101563,155.82266159057616
9,16.290686,25.962221527099608,88.1828125
10,16.489832,24.175452041625977,157.01727218627929
11,15.879867,20.63508014678955,125.5037452697754
12,16.381624,26.062377166748046,115.04528884887695
13,16.228283,22.56305809020996,88.02709503173828
14,16.069485,21.186184692382813,72.96007766723633
15,16.58863,30.80051612854004,119.19727325439453
16,16.258,19.4070125579834,139.74015159606932
17,16.609238,26.201381301879884,48.11433410644531
18,16.237024,24.17978630065918,118.07821655273438
19,16.500755,19.894276428222657,143.00287017822265
20,16.142075,24.39874839782715,47.87352294921875
21,16.549522,25.682272338867186,96.55418548583984
22,16.43028,22.69596939086914,53.20652313232422
23,16.202272,31.827123641967773,141.41943359375
24,16.473173,18.177652740478514,97.21844177246093
25,16.249823,29.77609634399414,87.44061584472657
26,16.718988,22.056197357177734,88.69333419799804
27,15.821931,24.031987762451173,123.15722198486328
28,16.293018,20.344050216674805,74.37705841064454
29,16.529947,22.903471374511717,96.76908493041992
30,16.346876,20.132914733886718,97.31290283203126
31,16.255245,23.117749404907226,44.37863006591797
32,16.650467,26.28646125793457,88.01614799499512
33,16.38717,23.427852630615234,38.31929473876953
34,16.529251,24.12767562866211,84.38449134826661
35,16.093145,17.531663131713866,101.13727416992188
36,16.338446,24.314887237548827,40.311343383789065
37,16.006336,21.351736068725586,68.56422271728516
38,16.291115,24.109748458862306,89.42692756652832
39,16.076153,18.170473861694337,74.22150650024415
40,15.924873,22.99936866760254,67.54313163757324
41,15.991464,21.135223388671875,48.5032283782959
42,16.077892,22.62684020996094,21.026733779907225
43,16.664303,27.08650360107422,127.23457317352295
44,16.535374,18.24686965942383,69.19767456054687
45,16.542751,25.864629364013673,74.69974822998047
46,16.319996,22.51095199584961,29.60119743347168
47,16.296131,21.93373336791992,49.36874237060547
48,16.322704,22.2226619720459,60.46671886444092
49,16.616875,22.10351219177246,71.39569358825683
